language,voice,gender,description
af-ZA,af-ZA-Standard-A,FEMALE,af-ZA-Standard-A (FEMALE)
am-ET,am-ET-Standard-A,FEMALE,am-ET-Standard-A (FEMALE)
am-ET,am-ET-Standard-B,MALE,am-ET-Standard-B (MALE)
am-ET,am-ET-Wavenet-A,FEMALE,am-ET-Wavenet-A (FEMALE)
am-ET,am-ET-Wavenet-B,MALE,am-ET-Wavenet-B (MALE)
ar-XA,ar-XA-Standard-A,FEMALE,ar-XA-Standard-A (FEMALE)
ar-XA,ar-XA-Standard-B,MALE,ar-XA-Standard-B (MALE)
ar-XA,ar-XA-Standard-C,MALE,ar-XA-Standard-C (MALE)
ar-XA,ar-XA-Standard-D,FEMALE,ar-XA-Standard-D (FEMALE)
ar-XA,ar-XA-Wavenet-A,FEMALE,ar-XA-Wavenet-A (FEMALE)
ar-XA,ar-XA-Wavenet-B,MALE,ar-XA-Wavenet-B (MALE)
ar-XA,ar-XA-Wavenet-C,MALE,ar-XA-Wavenet-C (MALE)
ar-XA,ar-XA-Wavenet-D,FEMALE,ar-XA-Wavenet-D (FEMALE)
bg-BG,bg-BG-Standard-A,FEMALE,bg-BG-Standard-A (FEMALE)
bn-IN,bn-IN-Standard-A,FEMALE,bn-IN-Standard-A (FEMALE)
bn-IN,bn-IN-Standard-B,MALE,bn-IN-Standard-B (MALE)
bn-IN,bn-IN-Standard-C,FEMALE,bn-IN-Standard-C (FEMALE)
bn-IN,bn-IN-Standard-D,MALE,bn-IN-Standard-D (MALE)
bn-IN,bn-IN-Wavenet-A,FEMALE,bn-IN-Wavenet-A (FEMALE)
bn-IN,bn-IN-Wavenet-B,MALE,bn-IN-Wavenet-B (MALE)
bn-IN,bn-IN-Wavenet-C,FEMALE,bn-IN-Wavenet-C (FEMALE)
bn-IN,bn-IN-Wavenet-D,MALE,bn-IN-Wavenet-D (MALE)
ca-ES,ca-ES-Standard-A,FEMALE,ca-ES-Standard-A (FEMALE)
cmn-CN,cmn-CN-Standard-A,FEMALE,cmn-CN-Standard-A (FEMALE)
cmn-CN,cmn-CN-Standard-B,MALE,cmn-CN-Standard-B (MALE)
cmn-CN,cmn-CN-Standard-C,MALE,cmn-CN-Standard-C (MALE)
cmn-CN,cmn-CN-Standard-D,FEMALE,cmn-CN-Standard-D (FEMALE)
cmn-CN,cmn-CN-Wavenet-A,FEMALE,cmn-CN-Wavenet-A (FEMALE)
cmn-CN,cmn-CN-Wavenet-B,MALE,cmn-CN-Wavenet-B (MALE)
cmn-CN,cmn-CN-Wavenet-C,MALE,cmn-CN-Wavenet-C (MALE)
